,co_volume,cv_volume,sentiment,sentiment_ste
2018-08-26,679,0,-14.111325177012901,1.6952946337343695
2018-08-27,798,0,-14.3797771061922,1.6648335970721886
2018-08-29,1147,0,-36.625120165146406,1.3600005012933907
2018-08-30,873,0,-23.225013073063533,1.5304201618651962
2018-08-31,797,0,-24.421906610976958,1.6102611031427034
2018-09-01,760,0,-21.858889679233144,1.6128528756565383
2018-09-02,775,0,-16.850838849866083,1.551826654518261
2018-09-03,819,0,-14.94641157538468,1.5265878683616474
2018-09-04,3334,0,-16.542039342775436,0.7466787703344709
2018-09-05,608,0,-14.194664936015844,1.8092267568740832
2018-09-06,2974,0,-15.477343192549936,0.7671020032381027
2018-09-07,932,0,-21.32768325499012,1.3116470758819216
2018-09-08,805,0,-15.272847074153045,1.463174223397519
2018-09-09,819,0,-16.250657820824394,1.4810680825799256
2018-09-10,852,0,-19.697606937923837,1.5728455294529498
2018-09-11,798,0,-14.000029836496003,1.5111077230580432
2018-09-12,756,0,-14.076264059707775,1.6115708132155644
2018-09-13,954,0,-28.816214973088005,1.3976007970589261
2018-09-14,829,0,-23.269333869454492,1.5158255580733533
2018-09-15,856,0,-18.648007949993932,1.4405805539306529
2018-09-16,771,0,-19.28245770658222,1.4777546126816545
2018-09-17,1036,0,-21.968395986253128,1.1817143858361883
2018-09-18,980,0,-24.66215120709502,1.3257604005762749
2018-09-19,879,0,-20.995720244867,1.4375086404048454
